timestamp,source_ip,destination_ip,port,action
2026-02-21 14:00:01,185.220.101.45,192.168.1.10,443,DENY
2026-02-21 14:01:12,8.8.8.8,10.0.0.5,53,ALLOW
2026-02-21 14:02:45,14.161.47.252,192.168.1.20,22,DENY
2026-02-21 14:03:10,192.168.1.50,8.8.4.4,443,ALLOW
2026-02-21 14:04:55,193.163.125.138,192.168.1.10,3389,DENY
2026-02-21 14:05:30,1.1.1.1,10.0.0.10,443,ALLOW
2026-02-21 14:06:05,error_parsing_ip,10.0.0.10,80,DENY
2026-02-21 14:07:22,45.33.32.156,192.168.1.15,80,ALLOW
2026-02-21 14:08:15,10.0.5.100,1.1.1.1,53,ALLOW
2026-02-21 14:10:00,178.128.188.45,192.168.1.10,22,DENY
timestamp,source_ip,destination_ip,port,action
2026-02-21 12:00:00,10.0.5.50,192.168.1.100,80,ALLOW
2026-02-21 12:01:15,14.161.47.252,192.168.1.10,22,DENY
2026-02-21 12:02:30,14.161.47.252,192.168.1.10,22,DENY
2026-02-21 12:03:45,999.888.777.666,10.0.0.5,443,DENY
2026-02-21 12:05:00,8.8.4.4,192.168.1.20,53,ALLOW
2026-02-21 12:06:20,2001:4860:4860::8888,10.0.0.10,443,ALLOW
2026-02-21 12:08:00,118.25.6.39,192.168.1.100,3389,DENY
2026-02-21 12:10:00,172.16.0.5,8.8.8.8,443,ALLOW
2026-02-21 14:30:00,185.220.101.45,192.168.1.50,22,DENY
2026-02-21 14:30:05,185.220.101.45,192.168.1.50,22,DENY
2026-02-21 14:31:12,104.244.78.6,192.168.1.10,443,ALLOW
2026-02-21 14:32:45,45.133.1.109,10.0.0.5,3389,DENY
2026-02-21 14:33:10,192.168.1.100,8.8.8.8,53,ALLOW
2026-02-21 14:34:55,85.204.244.131,192.168.1.20,23,DENY
2026-02-21 14:35:30,1.1.1.1,10.0.0.10,443,ALLOW
2026-02-21 14:36:05,malformed_ip_payload,10.0.0.10,80,DENY
2026-02-21 14:37:22,14.161.47.252,192.168.1.15,80,ALLOW
2026-02-21 14:38:15,10.0.5.100,1.1.1.1,53,ALLOW
2026-02-21 14:40:00,178.128.188.45,192.168.1.10,22,DENY
